 Instance     ,Mh,Decoder,Num Runs,Runs,Final objValue,Average objValue,Time Best,Time Total
HEVTSP_1_10_1_TW_0,SA,0,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","10,206","10,206"
HEVTSP_1_10_1_TW_1,SA,0,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","2,41","2,41"
HEVTSP_1_10_1_TW_2,SA,0,5, 1801.46 1801.46 1801.46 1801.46 1801.46,"1801,5","1801,5","8,456","8,456"
HEVTSP_1_10_1_TW_3,SA,0,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","3,434","3,434"
HEVTSP_1_10_1_TW_4,SA,0,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","1,975","1,975"
HEVTSP_1_10_1_TW_5,SA,0,5, 1801.46 1801.46 1801.46 1801.46 1801.46,"1801,5","1801,5","2,747","2,747"
HEVTSP_1_10_2_TW_0,SA,0,5, 1598.18 1598.18 1598.18 1598.18 1598.18,"1598,2","1598,2","5,053","5,053"
HEVTSP_1_10_2_TW_1,SA,0,5, 1607.85 1607.85 1607.85 1607.85 1607.85,"1607,8","1607,8","0,896",50
HEVTSP_1_10_2_TW_2,SA,0,5, 1607.85 1607.85 1607.85 1607.85 1607.85,"1607,8","1607,8","0,377",50
HEVTSP_1_10_2_TW_3,SA,0,5, 1607.85 1607.85 1607.85 1607.85 1607.85,"1607,8","1607,8","0,352",50
HEVTSP_1_10_2_TW_4,SA,0,5, 1607.85 1607.85 1607.85 1607.85 1607.85,"1607,8","1607,8","0,354",50
HEVTSP_1_10_2_TW_5,SA,0,5, 1607.85 1607.85 1607.85 1607.85 1607.85,"1607,8","1607,8","0,319",50
HEVTSP_1_10_3_TW_0,SA,0,5, 1478.90 1478.90 1478.90 1478.90 1478.90,"1478,9","1478,9","2,344","2,344"
HEVTSP_1_10_3_TW_1,SA,0,5, 1531.45 1540.06 1531.45 1532.95 1531.45,"1531,4","1533,5","28,932","44,256"
HEVTSP_1_10_3_TW_2,SA,0,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","0,481","0,481"
HEVTSP_1_10_3_TW_3,SA,0,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","2,235","2,235"
